po_line_id,po_id,part_id,qty,unit_price,line_amount
9000000,500216,20301,24.0,19.46,467.04
9000001,500375,20260,23.0,8.72,200.56
9000002,500719,20112,12.0,43.93,527.16
9000003,500585,20069,23.0,15.46,355.58
9000004,500010,20159,21.0,14.69,308.49
9000005,500798,20239,26.0,25.16,654.16
9000006,500767,20010,8.0,39.87,318.96
9000007,500011,20137,30.0,21.5,645.0
9000008,500891,20166,34.0,20.6,700.4
9000009,500589,20246,2.0,13.22,26.44
9000010,500434,20030,5.0,39.47,197.35
9000011,500683,20011,31.0,21.62,670.22
9000012,500607,20242,33.0,17.54,578.82
9000013,500817,20107,4.0,16.29,65.16
9000014,500372,20335,6.0,37.19,223.14
9000015,500272,20322,23.0,17.16,394.68
9000016,500896,20193,45.0,37.25,1676.25
9000017,500690,20307,19.0,15.14,287.66
9000018,500575,20132,43.0,30.98,1332.14
9000019,500508,20280,45.0,22.74,1023.3
9000020,500131,20290,8.0,11.35,90.8
9000021,500854,20162,39.0,19.06,743.34
9000022,500783,20277,13.0,5.4,70.2
9000023,500318,20202,1.0,12.85,12.85
9000024,500843,20095,6.0,7.79,46.74
9000025,500852,20222,7.0,66.59,466.13
9000026,500620,20236,48.0,7.85,376.8
9000027,500784,20116,27.0,94.77,2558.79
9000028,500167,20191,15.0,27.35,410.25
9000029,500396,20275,34.0,14.71,500.14
9000030,500179,20105,23.0,32.58,749.34
9000031,500057,20003,48.0,13.64,654.72
9000032,500479,20017,49.0,8.62,422.38
9000033,500590,20306,24.0,21.06,505.44
9000034,500459,20019,15.0,30.57,458.55
9000035,500060,20121,35.0,43.25,1513.75
9000036,500368,20136,4.0,27.08,108.32
9000037,500120,20079,44.0,14.62,643.28
9000038,500718,20153,37.0,46.14,1707.18
9000039,123456789,20024,17.0,40.36,686.12
9000040,500581,20168,31.0,23.6,731.6
9000041,500016,20058,38.0,41.53,1578.14
9000042,500495,20300,10.0,74.51,745.1
9000043,500496,20040,27.0,14.5,391.5
9000044,500504,20037,42.0,11.71,491.82
9000045,500531,20116,6.0,14.24,85.44
9000046,500314,20274,6.0,8.94,53.64
9000047,500068,20269,15.0,28.64,429.6
9000048,500726,20126,4.0,7.65,30.6
9000049,500160,20002,48.0,42.91,2059.68
9000050,500613,20292,40.0,13.42,536.8
9000051,500887,20015,7.0,45.39,317.73
9000052,500717,20264,49.0,4.33,212.17
9000053,500144,20238,45.0,15.94,717.3
9000054,500568,20262,47.0,9.25,434.75
9000055,500594,20133,26.0,45.24,1176.24
9000056,500384,20212,31.0,55.0,1705.0
9000057,500268,20014,2.0,4.92,9.84
9000058,500453,20327,28.0,33.77,945.56
9000059,500698,20128,42.0,38.14,1601.88
9000060,500517,20121,13.0,24.42,317.46
9000061,500864,20240,18.0,28.59,514.62
9000062,500349,20114,30.0,27.38,821.4
9000063,500109,20196,11.0,33.84,372.24
9000064,500482,20221,13.0,10.43,135.59
9000065,500406,20213,24.0,41.28,990.72
9000066,500649,20079,29.0,22.77,660.33
9000067,500050,20262,5.0,21.97,109.85
9000068,500402,20134,35.0,28.22,987.7
9000069,500562,20305,19.0,9.37,178.03
9000070,500475,20241,13.0,7.91,102.83
9000071,500086,20302,5.0,18.68,93.4
9000072,500067,20269,44.0,50.71,2231.24
9000073,500595,20286,14.0,9.86,138.04
9000074,500041,20049,38.0,22.31,847.78
9000075,500730,20188,22.0,13.07,287.54
9000076,500056,20296,9.0,12.05,108.45
9000077,500737,20013,49.0,27.12,1328.88
9000078,500195,20231,40.0,31.68,1267.2
9000079,500759,20260,26.0,12.52,325.52
9000080,500677,20191,45.0,46.17,2077.65
9000081,500061,20202,5.0,25.88,129.4
9000082,500262,20260,29.0,17.37,503.73
9000083,500111,20112,22.0,24.74,544.28
9000084,500764,20035,49.0,68.16,3339.84
9000085,500710,20078,3.0,31.57,94.71
9000086,500177,20274,28.0,13.21,369.88
9000087,500025,20277,38.0,19.86,754.68
9000088,500409,20161,14.0,21.73,304.22
9000089,500757,20311,47.0,29.94,1407.18
9000090,500530,20016,14.0,23.19,324.66
9000091,500776,20203,43.0,62.63,2693.09
9000092,500316,20016,11.0,17.53,192.83
9000093,500531,20201,9.0,7.11,63.99
9000094,500105,20209,38.0,22.84,867.92
9000095,500748,20077,47.0,15.41,724.27
9000096,500817,20055,44.0,8.15,358.6
9000097,500463,20079,6.0,13.17,79.02
9000098,500245,20305,1.0,16.2,16.2
9000099,500080,20057,25.0,39.8,995.0
9000100,500661,20017,16.0,8.25,132.0
9000101,500395,20207,15.0,24.78,371.7
9000102,500521,20134,34.0,76.12,2588.08
9000103,500832,20331,17.0,18.09,307.53
9000104,500735,20009,3.0,17.77,53.31
9000105,500263,20068,3.0,30.93,92.79
9000106,500660,20340,37.0,27.48,1016.76
9000107,500789,20082,17.0,47.02,799.34
9000108,500273,20108,49.0,18.17,890.33
9000109,500705,20043,38.0,30.61,1163.18
9000110,500171,20131,1.0,30.9,30.9
9000111,500264,20017,7.0,16.42,114.94
9000112,500821,20092,26.0,18.76,487.76
9000113,500025,20293,47.0,19.95,937.65
9000114,500468,20147,39.0,9.56,372.84
9000115,500861,20171,19.0,15.91,302.29
9000116,500475,20050,30.0,49.29,1478.7
9000117,500355,20018,43.0,37.44,1609.92
9000118,500025,20119,14.0,14.18,198.52
9000119,500033,20323,13.0,19.9,258.7
9000120,500263,20224,20.0,35.98,719.6
9000121,500137,20065,26.0,26.21,681.46
9000122,500815,20140,27.0,32.46,876.42
9000123,500694,20188,25.0,27.67,691.75
9000124,500874,20157,9.0,22.86,205.74
9000125,500753,20097,41.0,18.18,745.38
9000126,500565,20157,48.0,9.81,470.88
9000127,500461,20245,12.0,30.43,365.16
9000128,500167,20343,10.0,17.58,175.8
9000129,500630,20235,6.0,7.47,44.82
9000130,500654,20032,34.0,14.48,492.32
9000131,500080,20240,41.0,33.49,1373.09
9000132,500756,20329,19.0,6.36,120.84
9000133,500863,20337,6.0,10.83,64.98
9000134,500869,20274,2.0,21.81,43.62
9000135,500406,20070,15.0,46.69,700.35
9000136,500573,20312,17.0,36.6,622.2
9000137,500045,20215,16.0,49.45,791.2
9000138,500598,20078,28.0,22.75,637.0
9000139,500610,20168,21.0,17.72,372.12
9000140,500806,20297,8.0,33.31,266.48
9000141,500052,20179,10.0,11.71,117.1
9000142,500703,20115,10.0,11.17,111.7
9000143,500475,20259,10.0,10.04,100.4
9000144,500591,20259,9.0,38.6,347.4
9000145,500015,20004,28.0,12.17,340.76
9000146,500359,20296,24.0,36.61,878.64
9000147,500486,20107,19.0,21.96,417.24
9000148,500837,20342,33.0,38.9,1283.7
9000149,500705,20116,4.0,10.35,41.4
9000150,500501,20330,3.0,13.8,41.4
9000151,500140,20330,42.0,26.37,1107.54
9000152,500619,20012,12.0,15.51,186.12
9000153,500814,20141,18.0,4.5,81.0
9000154,500776,20187,23.0,8.82,202.86
9000155,500446,20280,20.0,10.3,206.0
9000156,500289,20114,6.0,10.77,64.62
9000157,500208,20235,34.0,30.24,1028.16
9000158,500474,20337,42.0,24.59,1032.78
9000159,500412,20009,2.0,22.14,44.28
9000160,500676,20198,30.0,67.03,2010.9
9000161,500426,20251,9.0,40.66,365.94
9000162,500853,20049,27.0,32.5,877.5
9000163,500370,20141,42.0,8.19,343.98
9000164,500831,20270,34.0,20.82,707.88
9000165,500663,20015,40.0,24.03,961.2
9000166,500289,20001,24.0,15.66,375.84
9000167,500431,20157,49.0,55.91,2739.59
9000168,500267,20029,17.0,20.71,352.07
9000169,500150,20081,29.0,9.61,278.69
9000170,500718,20030,36.0,11.04,397.44
9000171,500254,20235,12.0,79.0,948.0
9000172,500352,20332,31.0,15.61,483.91
9000173,500376,20147,49.0,5.77,282.73
9000174,500652,20176,9.0,14.02,126.18
9000175,500854,20034,19.0,6.71,127.49
9000176,500357,20022,46.0,34.83,1602.18
9000177,500607,20105,46.0,6.22,286.12
9000178,500369,20096,17.0,8.66,147.22
9000179,500226,20229,2.0,20.13,40.26
9000180,500704,20226,40.0,39.08,1563.2
9000181,500302,20099,5.0,19.27,96.35
9000182,500825,20054,39.0,9.44,368.16
9000183,500388,20194,48.0,22.41,1075.68
9000184,500376,20007,16.0,15.17,242.72
9000185,500117,20314,17.0,39.63,673.71
9000186,500004,20127,27.0,33.54,905.58
9000187,500443,20031,7.0,14.55,101.85
9000188,500351,20092,8.0,32.07,256.56
9000189,500754,20006,8.0,23.64,189.12
9000190,500532,20257,23.0,45.61,1049.03
9000191,500663,20340,32.0,31.26,1000.32
9000192,500639,20219,43.0,27.89,1199.27
9000193,500123,20239,47.0,44.56,2094.32
9000194,500657,20105,18.0,20.27,364.86
9000195,500276,20035,38.0,12.63,479.94
9000196,500821,20044,12.0,22.66,271.92
9000197,500393,20297,15.0,16.23,243.45
9000198,500663,20308,28.0,28.86,808.08
9000199,500359,20008,38.0,20.85,792.3
9000200,500622,20086,31.0,25.58,792.98
9000201,500468,20330,9.0,9.75,87.75
9000202,500627,20176,8.0,27.25,218.0
9000203,500699,20129,46.0,9.29,427.34
9000204,500056,20194,19.0,35.77,679.63
9000205,500250,20010,8.0,35.8,286.4
9000206,500895,20305,34.0,24.75,841.5
9000207,500149,20121,4.0,24.19,96.76
9000208,500451,20234,31.0,17.56,544.36
9000209,500161,20330,38.0,13.99,531.62
9000210,500119,20030,3.0,19.91,59.73
9000211,500581,20347,35.0,66.0,2310.0
9000212,500350,20223,19.0,23.05,437.95
9000213,500098,20152,43.0,8.96,385.28
9000214,500166,20211,29.0,7.21,209.09
9000215,500809,20091,10.0,8.48,84.8
9000216,500662,20330,12.0,16.01,192.12
9000217,500837,20347,46.0,42.93,1974.78
9000218,500513,20128,30.0,10.87,326.1
9000219,500663,20196,30.0,47.14,1414.2
9000220,500400,20041,18.0,22.37,402.66
9000221,500364,20227,24.0,26.84,644.16
9000222,500576,20193,32.0,26.41,845.12
9000223,500325,88888888,9.0,28.63,257.67
9000224,500580,20332,47.0,15.69,737.43
9000225,500632,20242,24.0,4.95,118.8
9000226,500620,20275,26.0,14.11,366.86
9000227,500827,20126,3.0,11.79,35.37
9000228,500246,20074,23.0,24.2,556.6
9000229,500433,20061,11.0,22.91,252.01
9000230,500092,20287,10.0,17.06,170.6
9000231,500267,20185,36.0,57.59,2073.24
9000232,500614,20177,13.0,13.67,177.71
9000233,500623,20165,29.0,5.28,153.12
9000234,500320,20182,38.0,21.58,820.04
9000235,500815,20027,13.0,41.0,533.0
9000236,500855,20329,26.0,23.86,620.36
9000237,500061,20246,20.0,16.22,324.4
9000238,500299,20336,5.0,23.2,116.0
9000239,500402,20021,20.0,60.54,1210.8
9000240,500647,20095,14.0,11.88,166.32
9000241,500566,20121,45.0,20.46,920.7
9000242,500619,20249,14.0,30.02,420.28
9000243,500302,20307,8.0,23.39,187.12
9000244,500769,20333,48.0,17.31,830.88
9000245,500252,20325,13.0,15.55,202.15
9000246,500733,20136,24.0,16.93,406.32
9000247,500477,20276,15.0,27.64,414.6
9000248,500368,20319,1.0,26.69,26.69
9000249,500678,20331,22.0,70.59,1552.98
9000250,500159,20060,34.0,7.99,271.66
9000251,500165,20249,40.0,57.67,2306.8
9000252,500204,20094,3.0,17.77,53.31
9000253,500266,20295,26.0,19.02,494.52
9000254,500137,20183,14.0,33.62,470.68
9000255,500367,20259,41.0,33.5,1373.5
9000256,500442,20286,8.0,40.2,321.6
9000257,500857,20154,49.0,45.83,2245.67
9000258,500759,20185,16.0,19.61,313.76
9000259,500566,20068,42.0,46.18,1939.56
9000260,500720,20325,21.0,13.77,289.17
9000261,500016,20260,10.0,16.72,167.2
9000262,500067,20114,25.0,18.01,450.25
9000263,500132,20346,,14.64,556.32
9000264,500699,20007,22.0,20.82,458.04
9000265,500429,20264,49.0,34.39,1685.11
9000266,500307,20270,48.0,29.69,1425.12
9000267,500649,20248,47.0,13.9,653.3
9000268,500173,20104,46.0,13.23,608.58
9000269,500411,20262,4.0,12.02,48.08
9000270,500096,20223,4.0,21.18,84.72
9000271,500682,20327,30.0,7.78,233.4
9000272,500153,20270,2.0,11.77,23.54
9000273,500694,20164,29.0,15.25,442.25
9000274,500241,20082,43.0,37.83,1626.69
9000275,500303,20294,36.0,18.55,667.8
